🇨🇳央视频道,#genre#
吉林卫视,http://127.0.0.1:35455/itv/5000000011000031117.m3u8?cdn=bestzb
吉林卫视,http://127.0.0.1:35455/tptv/G_JILIN-CQ.m3u8
江西卫视,http://127.0.0.1:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
江西卫视,http://127.0.0.1:35455/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视,http://127.0.0.1:35455/tptv/G_JIANGXI-CQ.m3u8
辽宁卫视,http://127.0.0.1:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
辽宁卫视,http://127.0.0.1:35455/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视,http://127.0.0.1:35455/tptv/G_LIAONING-HD-265-8M.m3u8
青海卫视,http://127.0.0.1:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
三沙卫视,http://127.0.0.1:35455/tptv/G_SANSHA-HQ.m3u8
山东卫视,http://127.0.0.1:35455/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视,http://127.0.0.1:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
山东卫视,http://127.0.0.1:35455/itv/6000000001000004134.m3u8?cdn=wasusyt
山东卫视,http://127.0.0.1:35455/tptv/G_SHANDONG-HD-265-8M.m3u8
上海都市,http://127.0.0.1:35455/itv/5000000010000018926.m3u8?cdn=bestzb
上海法治,http://127.0.0.1:35455/itv/2000000002000000014.m3u8?cdn=hnbblive
上海外国语,http://127.0.0.1:35455/itv/5000000010000030951.m3u8?cdn=bestzb
上海新闻,http://127.0.0.1:35455/itv/5000000011000031110.m3u8?cdn=bestzb
深圳卫视,http://127.0.0.1:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
深圳卫视,http://127.0.0.1:35455/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视,http://127.0.0.1:35455/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视,http://127.0.0.1:35455/tptv/G_SHENZHEN-HD-265-8M.m3u8
四川卫视,http://127.0.0.1:35455/itv/5000000004000006119.m3u8?cdn=bestzb
四川卫视,http://127.0.0.1:35455/tptv/G_SICHUAN-CQ.m3u8
天津卫视,http://127.0.0.1:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
天津卫视,http://127.0.0.1:35455/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视,http://127.0.0.1:35455/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视,http://127.0.0.1:35455/tptv/G_TIANJIN-HD-265-8M.m3u8
五星体育,http://127.0.0.1:35455/itv/5000000010000017540.m3u8?cdn=bestzb
云南卫视,http://127.0.0.1:35455/itv/5000000011000031120.m3u8?cdn=bestzb
云南卫视,http://127.0.0.1:35455/tptv/G_YUNNAN-HQ.m3u8
浙江卫视,http://127.0.0.1:35455/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视,http://127.0.0.1:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
浙江卫视,http://127.0.0.1:35455/itv/5000000004000007275.m3u8?cdn=bestzb
浙江卫视,http://127.0.0.1:35455/tptv/G_ZHEJIANG-HD-265-8M.m3u8
重庆卫视,http://127.0.0.1:35455/itv/1000000001000001096.m3u8?cdn=ystenlive
重庆卫视,http://127.0.0.1:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
重庆卫视,http://127.0.0.1:35455/tptv/G_CHONGQING-CQ.m3u8


🇨🇳体育频道,#genre#
湖南bblive-1,http://127.0.0.1:35455/itv/2000000003000000060.m3u8?cdn=hnbblive
湖南bblive-2,http://127.0.0.1:35455/itv/2000000003000000061.m3u8?cdn=hnbblive
湖南bblive-3,http://127.0.0.1:35455/itv/2000000003000000062.m3u8?cdn=hnbblive
湖南bblive-4,http://127.0.0.1:35455/itv/2000000003000000063.m3u8?cdn=hnbblive
湖南bblive-5,http://127.0.0.1:35455/itv/2000000003000000064.m3u8?cdn=hnbblive
湖南bblive-6,http://127.0.0.1:35455/itv/2000000003000000065.m3u8?cdn=hnbblive
咪咕视频1,http://127.0.0.1:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive
咪咕视频2,http://127.0.0.1:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive
咪咕视频3,http://127.0.0.1:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive
咪咕视频4,http://127.0.0.1:35455/itv/3000000001000008001.m3u8?cdn=FifastbLive
咪咕视频5,http://127.0.0.1:35455/itv/3000000001000008176.m3u8?cdn=FifastbLive
咪咕视频6,http://127.0.0.1:35455/itv/3000000001000008379.m3u8?cdn=FifastbLive
咪咕视频7,http://127.0.0.1:35455/itv/3000000001000010129.m3u8?cdn=FifastbLive
咪咕视频8,http://127.0.0.1:35455/itv/3000000001000010948.m3u8?cdn=FifastbLive
咪咕视频9,http://127.0.0.1:35455/itv/3000000001000028638.m3u8?cdn=FifastbLive
咪咕视频10,http://127.0.0.1:35455/itv/3000000001000031494.m3u8?cdn=FifastbLive
咪咕视频11,http://127.0.0.1:35455/itv/3000000010000005837.m3u8?cdn=FifastbLive
咪咕视频12,http://127.0.0.1:35455/itv/3000000020000011518.m3u8?cdn=FifastbLive
咪咕视频13,http://127.0.0.1:35455/itv/3000000020000011519.m3u8?cdn=FifastbLive
咪咕视频14,http://127.0.0.1:35455/itv/3000000020000011520.m3u8?cdn=FifastbLive
咪咕视频15,http://127.0.0.1:35455/itv/3000000020000011521.m3u8?cdn=FifastbLive
咪咕视频16,http://127.0.0.1:35455/itv/3000000020000011522.m3u8?cdn=FifastbLive
咪咕视频17,http://127.0.0.1:35455/itv/3000000020000011523.m3u8?cdn=FifastbLive
咪咕视频18,http://127.0.0.1:35455/itv/3000000020000011524.m3u8?cdn=FifastbLive
咪咕视频19,http://127.0.0.1:35455/itv/3000000020000011525.m3u8?cdn=FifastbLive
咪咕视频20,http://127.0.0.1:35455/itv/3000000020000011528.m3u8?cdn=FifastbLive
咪咕视频21,http://127.0.0.1:35455/itv/3000000020000011529.m3u8?cdn=FifastbLive
咪咕视频22,http://127.0.0.1:35455/itv/3000000020000011530.m3u8?cdn=FifastbLive
咪咕视频23,http://127.0.0.1:35455/itv/3000000020000011531.m3u8?cdn=FifastbLive
咪咕视频24,http://127.0.0.1:35455/itv/3000000010000000097.m3u8?cdn=FifastbLive
咪咕视频25,http://127.0.0.1:35455/itv/3000000010000002019.m3u8?cdn=FifastbLive
咪咕视频26,http://127.0.0.1:35455/itv/3000000010000002809.m3u8?cdn=FifastbLive
咪咕视频27,http://127.0.0.1:35455/itv/3000000010000003915.m3u8?cdn=FifastbLive
咪咕视频28,http://127.0.0.1:35455/itv/3000000010000004193.m3u8?cdn=FifastbLive
咪咕视频29,http://127.0.0.1:35455/itv/3000000010000006077.m3u8?cdn=FifastbLive
咪咕视频30,http://127.0.0.1:35455/itv/3000000010000006658.m3u8?cdn=FifastbLive
咪咕视频31,http://127.0.0.1:35455/itv/3000000010000009788.m3u8?cdn=FifastbLive
咪咕视频32,http://127.0.0.1:35455/itv/3000000010000010833.m3u8?cdn=FifastbLive
咪咕视频33,http://127.0.0.1:35455/itv/3000000010000011297.m3u8?cdn=FifastbLive
咪咕视频34,http://127.0.0.1:35455/itv/3000000010000011518.m3u8?cdn=FifastbLive
咪咕视频35,http://127.0.0.1:35455/itv/3000000010000012558.m3u8?cdn=FifastbLive
咪咕视频36,http://127.0.0.1:35455/itv/3000000010000012616.m3u8?cdn=FifastbLive
咪咕视频37,http://127.0.0.1:35455/itv/3000000010000015470.m3u8?cdn=FifastbLive
咪咕视频38,http://127.0.0.1:35455/itv/3000000010000015560.m3u8?cdn=FifastbLive
咪咕视频39,http://127.0.0.1:35455/itv/3000000010000017678.m3u8?cdn=FifastbLive
咪咕视频40,http://127.0.0.1:35455/itv/3000000010000019839.m3u8?cdn=FifastbLive
咪咕视频41,http://127.0.0.1:35455/itv/3000000010000021904.m3u8?cdn=FifastbLive
咪咕视频42,http://127.0.0.1:35455/itv/3000000010000023434.m3u8?cdn=FifastbLive
咪咕视频43,http://127.0.0.1:35455/itv/3000000010000025380.m3u8?cdn=FifastbLive
咪咕视频44,http://127.0.0.1:35455/itv/3000000010000027691.m3u8?cdn=FifastbLive
咪咕视频45,http://127.0.0.1:35455/itv/3000000010000031669.m3u8?cdn=FifastbLive
易视腾-1,http://127.0.0.1:35455/itv/1000000006000270001.m3u8?cdn=ystenlive
易视腾-2,http://127.0.0.1:35455/itv/1000000006000270002.m3u8?cdn=ystenlive
易视腾-3,http://127.0.0.1:35455/itv/1000000006000270003.m3u8?cdn=ystenlive
易视腾-4,http://127.0.0.1:35455/itv/1000000006000270004.m3u8?cdn=ystenlive
易视腾-5,http://127.0.0.1:35455/itv/1000000006000270005.m3u8?cdn=ystenlive
易视腾-6,http://127.0.0.1:35455/itv/1000000006000270006.m3u8?cdn=ystenlive


🇨🇳数字频道4K,#genre#
华数4K,http://127.0.0.1:35455/itv/6000000003000004748.m3u8?cdn=wasusyt
纯享4K,http://127.0.0.1:35455/itv/1000000004000011651.m3u8?cdn=ystenlive
纯享4K,http://127.0.0.1:35455http://127.0.0.1:35455/tptv/HD-20M-2160P-chunxiang4k.m3u8
咪咕4K-1,http://127.0.0.1:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K-2,http://127.0.0.1:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
睛彩篮球4K,http://127.0.0.1:35455/tptv/miguaoyun01-AVS01.m3u8
咪咕全民热练,http://127.0.0.1:35455/itv/3000000020000031315.m3u8?cdn=FifastbLive
求索动物,http://127.0.0.1:35455/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://127.0.0.1:35455/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://127.0.0.1:35455/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://127.0.0.1:35455/itv/6000000002000003382.m3u8?cdn=wasusyt


